,rate_marriage,age,yrs_married,children,religious,affairs
0,5,32.0,6.0,1.0,3,0
1,4,22.0,2.5,0.0,2,0
2,3,32.0,9.0,3.0,3,1
3,3,27.0,13.0,3.0,1,1
4,4,22.0,2.5,0.0,1,1
5,4,37.0,16.5,4.0,3,1
6,5,27.0,9.0,1.0,1,1
7,4,27.0,9.0,0.0,2,1
8,5,37.0,23.0,5.5,2,1
9,5,37.0,23.0,5.5,2,1
10,3,22.0,2.5,0.0,2,1
11,3,27.0,6.0,0.0,1,1
12,2,27.0,6.0,2.0,1,1
13,5,27.0,6.0,2.0,3,1
14,3,37.0,16.5,5.5,1,1
15,5,27.0,6.0,0.0,2,1
16,4,22.0,6.0,1.0,1,1
17,4,37.0,9.0,2.0,2,1
18,4,27.0,6.0,1.0,1,1
19,1,37.0,23.0,5.5,4,1
20,2,42.0,23.0,2.0,2,1
21,4,37.0,6.0,0.0,2,1
22,5,22.0,2.5,0.0,2,1
23,3,37.0,16.5,5.5,2,1
24,3,42.0,23.0,5.5,3,1
25,2,27.0,9.0,2.0,4,1
26,4,27.0,6.0,1.0,2,1
27,5,27.0,2.5,0.0,3,1
28,2,27.0,6.0,2.0,2,1
29,5,37.0,13.0,1.0,3,1
30,2,32.0,16.5,2.0,2,1
31,3,27.0,6.0,1.0,1,1
32,3,32.0,16.5,4.0,3,1
33,3,27.0,9.0,2.0,1,1
34,3,37.0,16.5,3.0,3,1
35,4,32.0,16.5,5.5,4,1
36,5,42.0,16.5,4.0,3,1
37,3,27.0,9.0,2.0,2,1
38,3,17.5,0.5,0.0,1,1
39,4,42.0,23.0,5.5,2,1
40,5,37.0,16.5,3.0,3,1
41,4,22.0,2.5,1.0,2,1
42,4,27.0,2.5,0.0,2,1
43,4,22.0,2.5,0.0,2,1
44,4,37.0,13.0,3.0,2,1
45,4,22.0,2.5,0.0,2,1
46,4,22.0,2.5,0.0,1,1
47,5,22.0,2.5,0.0,3,1
48,5,22.0,2.5,0.0,3,1
49,3,42.0,23.0,4.0,3,1
50,5,32.0,13.0,3.0,3,1
51,5,22.0,6.0,2.0,2,1
52,3,27.0,2.5,1.0,4,1
53,2,42.0,23.0,3.0,3,1
54,4,22.0,2.5,0.0,1,1
55,2,42.0,23.0,3.0,3,1
56,4,42.0,23.0,2.0,2,1
57,4,42.0,23.0,3.0,3,1
58,4,37.0,16.5,2.0,3,1
59,4,27.0,2.5,0.0,2,1
60,2,32.0,9.0,2.0,2,1
61,4,42.0,13.0,0.0,1,1
62,4,22.0,6.0,2.0,1,1
63,5,32.0,16.5,3.0,3,1
64,4,42.0,13.0,0.0,2,1
65,5,27.0,9.0,1.0,3,1
66,5,22.0,6.0,2.0,2,1
67,2,27.0,16.5,2.0,3,1
68,5,37.0,13.0,2.0,1,1
69,5,27.0,6.0,0.0,2,1
70,2,27.0,2.5,1.0,1,1
71,5,42.0,23.0,5.5,4,1
72,5,27.0,6.0,0.0,2,1
73,5,37.0,16.5,3.0,2,1
74,2,32.0,9.0,2.0,2,1
75,3,37.0,16.5,5.5,3,1
76,5,27.0,6.0,2.0,2,1
77,5,32.0,16.5,3.0,1,1
78,5,27.0,9.0,2.0,1,1
79,4,22.0,2.5,0.0,2,1
80,5,32.0,16.5,2.0,4,1
81,2,22.0,6.0,2.0,2,1
82,3,32.0,13.0,3.0,1,1
83,5,32.0,16.5,3.0,2,1
84,3,27.0,6.0,2.0,1,1
85,5,22.0,2.5,0.0,1,1
86,3,32.0,9.0,2.0,3,1
87,3,22.0,2.5,1.0,2,1
88,3,22.0,2.5,0.0,2,1
89,5,27.0,9.0,2.0,1,1
90,3,42.0,23.0,2.0,2,1
91,3,37.0,16.5,3.0,2,1
92,5,32.0,13.0,2.0,2,1
93,1,27.0,13.0,2.0,2,1
94,5,27.0,2.5,0.0,2,1
95,5,27.0,9.0,0.0,1,1
96,5,32.0,13.0,2.0,2,1
97,4,27.0,9.0,2.0,2,1
98,3,22.0,2.5,1.0,3,1
99,2,37.0,23.0,2.0,2,1
100,2,27.0,6.0,2.0,1,1
101,4,27.0,2.5,1.0,2,1
102,3,37.0,13.0,5.5,2,1
103,5,37.0,16.5,4.0,1,1
104,5,22.0,2.5,0.0,1,1
105,4,42.0,13.0,0.0,1,1
106,5,27.0,9.0,1.0,1,1
107,4,22.0,2.5,0.0,1,1
108,4,22.0,2.5,1.0,2,1
109,4,27.0,6.0,2.0,3,1
110,2,32.0,16.5,1.0,2,1
111,3,27.0,13.0,2.0,1,1
112,4,22.0,0.5,0.0,2,1
113,5,27.0,6.0,1.0,1,1
114,2,27.0,9.0,2.0,2,1
115,3,27.0,9.0,2.0,2,1
116,4,32.0,16.5,3.0,3,1
117,5,22.0,2.5,0.0,1,1
118,4,22.0,2.5,1.0,2,1
119,1,22.0,2.5,0.0,2,1
120,3,32.0,13.0,2.0,1,1
121,5,32.0,9.0,1.0,2,1
122,5,27.0,2.5,0.0,1,1
123,4,27.0,9.0,2.0,2,1
124,4,27.0,6.0,0.0,3,1
125,2,22.0,2.5,0.0,3,1
126,3,27.0,9.0,2.0,3,1
127,4,27.0,6.0,2.0,1,1
128,5,22.0,2.5,1.0,1,1
129,4,27.0,16.5,4.0,3,1
130,2,27.0,6.0,1.0,2,1
131,2,32.0,6.0,1.0,1,1
132,5,27.0,6.0,2.0,2,1
133,4,42.0,23.0,3.0,3,1
134,4,32.0,9.0,2.0,1,1
135,3,42.0,23.0,4.0,3,1
136,5,27.0,6.0,2.0,1,1
137,2,42.0,23.0,4.0,4,1
138,3,32.0,6.0,0.0,2,1
139,5,27.0,2.5,0.0,2,1
140,2,42.0,16.5,3.0,3,1
141,4,37.0,23.0,3.0,2,1
142,3,27.0,2.5,0.0,2,1
143,3,32.0,13.0,3.0,3,1
144,3,27.0,2.5,0.0,2,1
145,3,42.0,16.5,2.0,1,1
146,4,22.0,2.5,0.0,2,1
147,5,27.0,6.0,0.0,3,1
148,3,22.0,2.5,0.0,1,1
149,4,27.0,6.0,0.0,3,1
150,3,27.0,9.0,2.0,2,1
151,2,27.0,9.0,1.0,2,1
152,3,22.0,2.5,0.0,3,1
153,4,32.0,16.5,4.0,4,1
154,5,32.0,2.5,2.0,2,1
155,4,27.0,2.5,0.0,2,1
156,5,32.0,9.0,3.0,3,1
157,3,32.0,13.0,2.0,2,1
158,3,32.0,16.5,3.0,3,1
159,5,42.0,23.0,2.0,2,1
160,3,27.0,16.5,4.0,3,1
161,3,32.0,16.5,4.0,2,1
162,4,22.0,2.5,2.0,2,1
163,5,27.0,6.0,0.0,1,1
164,4,37.0,16.5,3.0,4,1
165,3,22.0,2.5,0.0,2,1
166,4,32.0,13.0,2.0,2,1
167,5,42.0,23.0,5.5,3,1
168,2,27.0,6.0,2.0,3,1
169,5,22.0,2.5,1.0,2,1
170,3,42.0,23.0,2.0,3,1
171,5,42.0,23.0,3.0,1,1
172,4,22.0,2.5,0.0,3,1
173,3,27.0,9.0,1.0,4,1
174,2,37.0,23.0,3.0,3,1
175,3,32.0,9.0,3.0,3,1
176,5,37.0,16.5,4.0,3,1
177,3,27.0,9.0,2.0,2,1
178,3,27.0,6.0,1.0,2,1
179,5,22.0,2.5,0.0,3,1
180,5,27.0,6.0,0.0,2,1
181,4,22.0,2.5,0.0,2,1
182,4,27.0,6.0,0.0,2,1
183,3,32.0,9.0,1.0,2,1
184,1,42.0,23.0,4.0,3,1
185,2,22.0,6.0,2.0,2,1
186,4,32.0,16.5,2.0,2,1
187,4,32.0,13.0,3.0,3,1
188,5,27.0,9.0,2.0,1,1
189,3,42.0,23.0,3.0,2,1
190,3,37.0,16.5,1.0,3,1
191,5,32.0,13.0,2.0,1,1
192,4,27.0,13.0,3.0,1,1
193,2,37.0,13.0,0.0,2,1
194,3,27.0,9.0,1.0,1,1
195,5,27.0,6.0,0.0,1,1
196,2,42.0,23.0,2.0,3,1
197,5,27.0,6.0,0.0,2,1
198,4,22.0,2.5,0.0,4,1
199,5,22.0,2.5,0.0,2,1
200,5,42.0,13.0,0.0,3,1
201,4,22.0,2.5,1.0,1,1
202,4,32.0,9.0,1.0,3,1
203,4,27.0,9.0,2.0,2,1
204,5,27.0,6.0,0.0,1,1
205,4,32.0,16.5,3.0,2,1
206,2,42.0,2.5,0.0,4,1
207,2,42.0,23.0,5.5,4,1
208,4,42.0,23.0,4.0,2,1
209,3,22.0,2.5,0.0,3,1
210,2,22.0,2.5,0.0,3,1
211,4,22.0,2.5,0.0,3,1
212,4,32.0,16.5,4.0,3,1
213,5,32.0,13.0,2.0,4,1
214,4,32.0,13.0,3.0,4,1
215,5,27.0,9.0,2.0,1,1
216,4,27.0,6.0,1.0,4,1
217,4,27.0,9.0,2.0,3,1
218,1,37.0,16.5,3.0,2,1
219,3,27.0,9.0,3.0,2,1
220,2,27.0,6.0,0.0,2,1
221,3,22.0,2.5,1.0,2,1
222,4,22.0,2.5,1.0,3,1
223,4,27.0,2.5,0.0,2,1
224,1,42.0,23.0,2.0,3,1
225,5,27.0,6.0,2.0,4,1
226,5,27.0,6.0,0.0,1,1
227,4,37.0,23.0,2.0,3,1
228,4,22.0,6.0,2.0,2,1
229,1,32.0,13.0,1.0,3,1
230,5,22.0,6.0,1.0,1,1
231,5,27.0,6.0,0.0,1,1
232,5,27.0,6.0,1.0,1,1
233,4,37.0,16.5,1.0,2,1
234,4,27.0,9.0,2.0,2,1
235,4,42.0,23.0,4.0,1,1
236,4,32.0,13.0,0.0,3,1
237,5,32.0,13.0,2.0,3,1
238,4,42.0,23.0,4.0,1,1
239,4,37.0,23.0,4.0,2,1
240,4,32.0,16.5,2.0,2,1
241,4,27.0,13.0,4.0,3,1
242,5,37.0,23.0,3.0,2,1
243,2,32.0,13.0,0.0,3,1
244,5,32.0,13.0,2.0,1,1
245,4,27.0,6.0,1.0,2,1
246,5,27.0,2.5,0.0,3,1
247,2,42.0,23.0,3.0,3,1
248,3,27.0,6.0,0.0,1,1
249,4,27.0,6.0,1.0,2,1
250,2,22.0,2.5,0.0,3,1
251,3,27.0,2.5,0.0,3,1
252,4,42.0,23.0,2.0,2,1
253,5,32.0,13.0,2.0,1,1
254,5,32.0,13.0,0.0,1,1
255,4,27.0,9.0,2.0,2,1
